,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed"
07/30/2015 22:28:01,1.5625,4.615384,0,0,1.54446959,46,47,45,47,47,4090.529,4090.529,4090.529,4090.529,40.2606,17.0137272,2.707947,2.50246429,99.7690048
07/30/2015 22:28:02,6.25,7.8125,0,3.125,4.296875,48,47,45,47,48,4090.52832,4090.52832,4090.52832,4090.52832,41.709156,19.4600143,2.583838,2.53146,99.76898
07/30/2015 22:28:03,4.6875,9.375,4.76190472,3.125,5.48735237,47,51,46,47,51,4090.52856,4090.52856,4090.52856,4090.52856,41.80398,19.5230618,2.584713,2.535583,99.76899
07/30/2015 22:28:04,3.125,3.125,0,1.5625,1.953125,46,47,46,47,47,4090.52759,4090.52759,4090.52759,4090.52759,40.77063,17.9331226,2.64431882,2.50808239,99.76897
07/30/2015 22:28:05,0,1.5625,0,1.5625,0.78125,49,47,45,47,49,4090.52856,4090.52856,4090.52856,4090.52856,40.5075455,17.5136375,2.65890479,2.50648737,99.76899
07/30/2015 22:46:46,1.5625,0,0,4.6875,1.5625,46,48,47,49,50,4090.52832,4090.52832,4090.52832,4090.52832,40.8452377,17.9761658,2.76835179,2.534199,99.76898
07/30/2015 22:46:47,0,1.5625,1.5625,1.5625,1.171875,47,49,47,49,49,4090.52759,4090.52759,4090.52759,4090.52759,40.1569,16.9531384,2.81454968,2.51223326,99.76897
07/30/2015 22:46:48,,,,,,,,,,,,,,,,,,,
07/30/2015 22:46:49,,,,,,,,,,,,,,,,,,,
07/30/2015 22:46:50,,,,,,,,,,,,,,,,,,,
07/30/2015 22:46:51,0,0,0,0,0,50,49,46,54,54,4090.669,4090.669,4090.669,4090.669,46.22409,26.0058575,2.44177747,2.71750474,99.7724152
07/30/2015 22:46:52,0,0,0,0,0,47,48,47,48,49,4090.52759,4090.52759,4090.52759,4090.52759,40.0763626,16.8273773,2.8126843,2.51108,99.76897
07/30/2015 22:46:53,0,0,1.5625,1.5625,0.78125,47,47,47,48,50,4090.528,4090.528,4090.528,4090.528,39.641468,16.1669369,2.83433437,2.49435639,99.7689743
07/30/2015 22:46:54,1.5625,0,0,0,0.390625,47,48,46,48,49,4090.52759,4090.52759,4090.52759,4090.52759,39.9040871,16.61935,2.8053875,2.50663662,99.76897
07/30/2015 22:46:55,0,0,1.5625,0,0.390625,46,47,47,48,48,4090.52881,4090.52881,4090.52881,4090.52881,39.9605331,16.60359,2.81446552,2.50049043,99.769
07/30/2015 22:46:56,1.5625,1.5625,1.5625,1.5625,1.5625,47,49,46,48,50,4090.52759,4090.52759,4090.52759,4090.52759,40.24023,17.05038,2.8008976,2.52342319,99.76897
07/30/2015 22:46:57,0,0,0,0,0,47,48,46,49,49,4090.5293,4090.5293,4090.5293,4090.5293,39.77505,16.3759613,2.82780242,2.507957,99.7690048
07/30/2015 22:46:58,0,0,0,0,0,47,47,47,48,49,4090.527,4090.527,4090.527,4090.527,39.9739532,16.6793289,2.80924726,2.5084548,99.76895
07/30/2015 22:46:59,0,0,0,1.5625,0.390625,47,49,46,48,49,4090.52954,4090.52954,4090.52954,4090.52954,39.7926979,16.4927711,2.78725219,2.499894,99.76901
07/30/2015 22:47:00,0,0,0,1.5625,0.390625,47,48,46,48,48,4090.52856,4090.52856,4090.52856,4090.52856,39.95702,16.7335033,2.789772,2.51353645,99.76899
07/30/2015 22:47:01,0,0,0,0,0,47,48,47,48,48,4090.52783,4090.52783,4090.52783,4090.52783,39.8614922,16.5759773,2.807873,2.5041697,99.7689743
07/30/2015 22:47:02,0,0,1.5625,1.5625,0.78125,46,48,47,49,49,4090.527,4090.527,4090.527,4090.527,39.9716759,16.6666546,2.82571959,2.51477242,99.76896
07/30/2015 22:47:03,3.125,0,0,1.5625,1.171875,47,48,47,49,49,4090.52832,4090.52832,4090.52832,4090.52832,39.8253021,16.5032616,2.82275987,2.50406313,99.76898
07/30/2015 22:47:04,0,0,0,0,0,47,48,45,49,49,4090.53,4090.53,4090.53,4090.53,39.9244881,16.7240925,2.811313,2.50915718,99.76903
07/30/2015 22:47:05,1.5625,0,0,0,0.390625,47,48,47,48,49,4090.52734,4090.52734,4090.52734,4090.52734,39.7915726,16.4289055,2.8338244,2.50270247,99.76896
07/30/2015 22:47:06,3.125,0,0,1.5625,1.171875,48,47,45,48,48,4090.52783,4090.52783,4090.52783,4090.52783,40.03355,16.7853527,2.82644343,2.512203,99.76897
07/30/2015 22:47:07,1.5625,1.5625,0,0,0.78125,47,48,46,47,49,4090.5293,4090.5293,4090.5293,4090.5293,40.09067,16.8711281,2.806854,2.503545,99.76901
07/30/2015 22:47:08,3.125,0,1.5625,1.5625,1.5625,47,48,46,48,49,4090.52686,4090.52686,4090.52686,4090.52686,40.36911,17.3326359,2.776985,2.52094436,99.76895
07/30/2015 22:47:09,0,0,3.125,0,0.78125,48,48,46,49,49,4090.52954,4090.52954,4090.52954,4090.52954,40.31071,17.1869888,2.77534866,2.52105641,99.76901
07/30/2015 22:47:10,3.125,0,1.5625,0,1.171875,46,48,47,48,48,4090.52759,4090.52759,4090.52759,4090.52759,40.0783844,16.9096012,2.77919173,2.51349163,99.76897
07/30/2015 22:47:11,3.125,0,0,1.5625,1.171875,46,48,46,48,49,4090.5293,4090.5293,4090.5293,4090.5293,39.9347649,16.638443,2.80625176,2.505647,99.7690048
07/30/2015 22:47:12,1.5625,0,0,1.5625,0.78125,47,47,47,49,49,4090.52856,4090.52856,4090.52856,4090.52856,40.1514359,16.94706,2.790392,2.52364874,99.76899
07/30/2015 22:47:13,0,1.5625,1.5625,0,0.78125,47,48,46,48,49,4090.527,4090.527,4090.527,4090.527,40.2388954,17.0638542,2.80057764,2.53435922,99.76896
07/30/2015 22:47:14,0,0,1.5625,1.5625,0.78125,46,48,46,48,48,4090.528,4090.528,4090.528,4090.528,40.1587753,16.9187031,2.7925446,2.53969717,99.76898
07/30/2015 22:47:15,0,0,0,1.5625,0.390625,47,48,47,48,48,4090.52783,4090.52783,4090.52783,4090.52783,39.6823158,16.23035,2.806715,2.49405813,99.7689743
07/30/2015 22:47:16,1.5625,0,0,0,0.390625,46,48,46,47,48,4090.52832,4090.52832,4090.52832,4090.52832,40.2594872,17.1479912,2.771266,2.522561,99.76898
07/30/2015 22:47:17,0,0,1.5625,3.125,1.171875,46,48,46,47,48,4090.52856,4090.52856,4090.52856,4090.52856,39.6671524,16.2567444,2.80852127,2.49486756,99.76899
07/30/2015 22:47:18,0,0,1.5625,0,0.390625,47,48,47,48,49,4090.52783,4090.52783,4090.52783,4090.52783,40.057682,16.767622,2.79693,2.511469,99.7689743
07/30/2015 22:47:19,0,0,1.5625,0,0.390625,46,48,46,48,49,4090.52832,4090.52832,4090.52832,4090.52832,40.5771332,17.6982327,2.74156213,2.522725,99.76898
07/30/2015 22:47:52,21.875,26.5625,17.1875,37.5,25.78125,47,51,56,56,56,4090.52783,4090.52783,4090.52783,4090.52783,54.167347,36.97967,2.03962088,2.837288,99.76897
07/30/2015 22:47:53,21.875,15.625,3.125,57.8125,24.609375,48,49,48,50,51,4090.52881,4090.52881,4090.52881,4090.52881,56.9097061,40.643856,1.98323381,2.71173525,99.769
