,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Bus Speed"
09/25/2015 21:50:31,1.53846157,0,0,3.07692313,1.15384614,46,43,44,43,1197.02173,1197.02173,1197.02173,1197.02173,133.002411
09/25/2015 21:50:32,0.7692308,0,0.7692308,1.53846157,0.7692308,44,43,46,43,1197.02087,1197.02087,1197.02087,1197.02087,133.002319
09/25/2015 21:50:33,7.69230747,6.15384626,4.61538458,7.69230747,6.53846169,45,43,46,45,1197.02063,1197.02063,1197.02063,1197.02063,133.002289
09/25/2015 21:50:34,0,0,1.53846157,0.7692308,0.5769231,43,43,45,44,1197.02112,1197.02112,1197.02112,1197.02112,133.00235
09/25/2015 21:50:35,0.7692308,0,0,1.53846157,0.5769231,45,42,46,42,1197.02112,1197.02112,1197.02112,1197.02112,133.00235
09/25/2015 21:50:41,2.30769229,0,3.84615374,1.53846157,1.92307687,45,43,45,45,1197.02124,1197.02124,1197.02124,1197.02124,133.00235
09/25/2015 21:50:46,6.15384626,6.15384626,5.38461542,6.15384626,5.96153831,45,44,47,44,1197.021,1197.021,1197.021,1197.021,133.002335
09/25/2015 21:50:51,0.7692308,0,0.7692308,0.7692308,0.5769231,43,44,46,42,1197.02124,1197.02124,1197.02124,1197.02124,133.002365
09/25/2015 21:50:56,1.53846157,0,0,0.7692308,0.5769231,44,42,44,43,1197.02136,1197.02136,1197.02136,1197.02136,133.00238
09/25/2015 21:51:01,4.61538458,9.230769,3.07692313,4.61538458,5.38461542,44,44,46,44,1197.02075,1197.02075,1197.02075,1197.02075,133.0023
09/25/2015 21:51:06,0,0,0,0.7692308,0.1923077,44,43,46,41,1197.02087,1197.02087,1197.02087,1197.02087,133.002319
09/25/2015 21:51:11,0,0,0,0.7692308,0.1923077,43,42,45,41,1197.021,1197.021,1197.021,1197.021,133.002335
09/25/2015 21:51:16,7.69230747,6.923077,3.07692313,3.07692313,5.19230747,44,44,46,42,1197.02051,1197.02051,1197.02051,1197.02051,133.002289
09/25/2015 21:51:21,0,0,0,0.7692308,0.1923077,43,43,44,43,1197.02112,1197.02112,1197.02112,2660.04688,133.00235
09/25/2015 21:51:26,0,0,0,0.7692308,0.1923077,44,43,45,43,1197.021,1197.021,1197.021,1197.021,133.002335
09/25/2015 21:51:31,1.53846157,6.923077,1.53846157,3.84615374,3.46153855,45,43,44,44,1197.02051,1197.02051,1197.02051,1197.02051,133.002274
09/25/2015 21:51:36,7.62443447,33.8461533,6.923077,9.230769,14.4061089,49,50,51,51,2926.05151,2926.05151,2926.05151,2926.05151,133.00235
09/25/2015 21:51:41,0,0,1.53846157,2.30769229,0.961538434,44,43,46,43,1197.02124,1197.02124,1197.02124,1197.02124,133.00235
09/25/2015 21:51:46,1.53846157,10,5.38461542,22.3076916,9.807693,46,47,48,53,2926.05127,2926.05127,1197.021,1197.021,133.002335
09/25/2015 21:51:52,6.15384626,8.461538,8.461538,28.4615383,12.8846149,48,49,49,54,2926.05127,2926.05127,2926.05127,2926.05127,133.002335
09/25/2015 21:51:57,14.6153851,0,4.61538458,1.53846157,5.19230747,45,46,53,44,2926.05273,2926.05273,1197.02161,1197.02161,133.0024
